NoPartie,NoÉquipe,NoJoueur,Points
41,1,1,95
41,1,2,30
41,1,4,90
41,1,99,45
41,2,1,100
41,2,2,60
41,2,4,70
41,2,7,40
41,2,99,45
42,6,1,100
42,6,2,40
42,6,4,180
42,6,9,30
42,6,99,55
42,7,1,75
42,7,2,50
42,7,3,40
42,7,4,50
42,7,99,40
43,3,1,100
43,3,2,80
43,3,3,65
43,3,4,50
43,3,99,55
43,5,1,140
43,5,2,100
43,5,3,40
43,5,4,55
43,5,99,45
44,4,1,195
44,4,2,85
44,4,3,70
44,4,5,65
44,4,99,25
44,8,1,80
44,8,4,40
44,8,5,65
44,8,6,20
44,8,99,20
