NoPartie,NoÉquipe,NoJoueur,Points
23,5,1,90
23,5,2,70
23,5,4,60
23,5,5,115
23,5,99,75
24,2,1,160
24,2,2,20
24,2,4,60
24,2,7,10
24,2,99,10
24,4,1,95
24,4,2,90
24,4,3,90
24,4,4,60
24,4,99,25
25,3,1,80
25,3,2,115
25,3,3,80
25,3,4,30
25,3,99,35
25,6,1,110
25,6,2,45
25,6,3,70
25,6,4,130
25,6,99,25
26,4,1,125
26,4,2,80
26,4,3,80
26,4,4,85
26,4,99,45
26,8,1,110
26,8,5,105
26,8,6,20
26,8,8,20
26,8,99,55
27,2,1,110
27,2,2,25
27,2,4,100
27,2,7,20
27,2,99,10
27,3,1,90
27,3,2,160
27,3,3,65
27,3,4,50
27,3,99,25
28,1,1,145
28,1,2,60
28,1,4,90
28,1,5,20
28,1,99,35
28,6,1,170
28,6,2,45
28,6,3,55
28,6,8,20
28,6,99,55
29,5,1,90
29,5,2,70
29,5,3,20
29,5,4,70
29,5,99,25
29,7,1,130
29,7,2,45
29,7,3,80
29,7,4,120
29,7,99,55
30,1,1,55
30,1,2,30
30,1,3,80
30,1,4,80
30,1,99,45
30,4,1,135
30,4,2,60
30,4,3,70
30,4,4,80
30,4,99,30
31,4,1,105
31,4,2,115
31,4,3,40
31,4,4,50
31,4,99,65
31,5,1,130
31,5,2,80
31,5,3,40
31,5,4,55
31,5,99,25
32,3,1,105
32,3,2,155
32,3,3,80
32,3,4,30
32,3,99,10
32,6,1,90
32,6,3,40
32,6,4,80
32,6,99,25
32,6,12,10
33,2,1,145
33,2,2,30
33,2,4,75
33,2,7,50
33,2,99,20
33,8,1,110
33,8,4,30
33,8,5,70
33,8,8,30
33,8,99,10
34,3,1,125
34,3,2,110
34,3,3,70
34,3,4,30
34,3,99,25
34,7,1,70
34,7,3,80
34,7,11,80
34,7,12,30
34,7,99,20
35,5,1,95
35,5,2,75
35,5,3,80
35,5,4,120
35,5,99,75
35,6,1,120
35,6,2,30
35,6,3,50
35,6,4,40
35,6,99,35
36,1,1,90
36,1,2,60
36,1,4,60
36,1,5,50
36,1,99,45
36,4,1,170
36,4,2,60
36,4,3,80
36,4,4,80
36,4,99,10
37,2,1,165
37,2,4,80
37,2,7,40
37,2,2,60
37,2,99,45
37,8,5,60
37,8,1,80
37,8,6,30
37,8,4,30
37,8,99,20
38,6,1,80
38,6,9,30
38,6,2,30
38,6,4,100
38,6,99,25
38,7,1,90
38,7,4,70
38,7,3,100
38,7,2,30
38,7,99,85
39,3,1,80
39,3,2,110
39,3,3,135
39,3,4,50
39,3,99,20
39,8,1,45
39,8,4,90
39,8,6,30
39,8,8,30
39,8,99,20
40,2,1,115
40,2,2,20
40,2,4,90
40,2,7,10
40,2,99,45
40,4,1,160
40,4,2,60
40,4,3,60
40,4,4,60
40,4,99,25
