NoPartie,Date,Salle,NomAnimateur,NoQuestionnaire,NoÉquipeA,NoÉquipeB,NoÉquipeQuestionnaire,LienReunion,LienConsole,LienBouton
36,2025-04-08,RHC,À déterminer,1,NA,NA,NA,https://teams.microsoft.com/meet/276578244448?p=dvQqJvKH2Xn98wKtpL,http://buz40.com/console/StatCan/Match 36: Quart-de-finale 1,http://buz40.com/bouton/?no=225902
37,2025-04-15,JT,À déterminer,1,NA,NA,NA,https://teams.microsoft.com/meet/28505221751311?p=mQf0hyvFjjsBacUT3R,http://buz40.com/console/StatCan/Match 37: Quart-de-finale 2,http://buz40.com/bouton/?no=816891
38,2025-04-15,RHC,À déterminer,2,NA,NA,NA,https://teams.microsoft.com/meet/23775115321870?p=8fon2PhmYGhmayhfVO,http://buz40.com/console/StatCan/Match 38: Quart-de-finale 3,http://buz40.com/bouton/?no=552811
39,2025-04-22,JT,À déterminer,3,NA,NA,NA,https://teams.microsoft.com/meet/27214624626936?p=8yBlpQLSIlm0JHNhCB,http://buz40.com/console/StatCan/Match 39: Demi-finale 1,http://buz40.com/bouton/?no=664131
40,2025-04-22,RHC,À déterminer,3,NA,NA,NA,https://teams.microsoft.com/meet/22619174039797?p=UfrwYVDrgVvLvVfWEB,http://buz40.com/console/StatCan/Match 40: Demi-finale 2,http://buz40.com/bouton/?no=762972
41,2025-04-29,RHC,À déterminer,4,NA,NA,NA,https://teams.microsoft.com/meet/28336788031329?p=1jaY8ilC1XiHDQFUfc,http://buz40.com/console/StatCan/Match 41: Finale,http://buz40.com/bouton/?no=542314
